Soil_Type;Soil_pH;Soil_Moisture;Organic_Carbon;Electrical_Conductivity;Nitrogen_Level;Phosphorus_Level;Potassium_Level;Temperature;Humidity;Rainfall;Crop_Type;Crop_Growth_Stage;Season;Irrigation_Type;Previous_Crop;Region;Fertilizer_Used_Last_Season;Yield_Last_Season;Recommended_Fertilizer
Clay;607;3498;32;187;61;44;84;1984;8331;169322;Cotton;Harvest;Kharif;Canal;Wheat;South;29715;119;MOP
Silt;639;4734;28;21;59;56;18;244;4627;103021;Maize;Vegetative;Kharif;Sprinkler;Potato;Central;7717;44;Urea
Sandy;792;3813;99;188;43;21;119;2482;7186;116616;Cotton;Flowering;Kharif;Rainfed;Tomato;South;12893;721;Urea
Clay;586;1417;146;36;88;46;34;2787;5323;288183;Wheat;Flowering;Zaid;Sprinkler;Potato;West;23396;185;MOP
Clay;798;1928;85;216;104;53;98;2417;5187;71484;Potato;Sowing;Kharif;Rainfed;Maize;East;21439;736;Zinc Sulphate
Silt;485;2097;27;123;48;31;87;2946;5203;268291;Rice;Harvest;Zaid;Sprinkler;Tomato;North;7022;765;Urea
Sandy;761;2289;49;253;56;20;40;3652;6836;226305;Maize;Sowing;Zaid;Canal;Potato;North;647;564;Urea
Sandy;789;3827;52;283;39;64;22;2194;6228;191767;Wheat;Harvest;Rabi;Sprinkler;Sugarcane;East;15369;144;Urea
Clay;523;352;64;131;23;19;74;363;753;194746;Cotton;Vegetative;Zaid;Drip;Tomato;West;1742;335;Urea
Loamy;622;2016;26;144;158;51;39;1659;3918;138423;Rice;Harvest;Rabi;Sprinkler;Tomato;West;19307;704;MOP
Clay;516;1338;138;181;105;89;82;1364;5553;142878;Maize;Harvest;Kharif;Rainfed;Cotton;North;20964;604;Compost
Clay;733;1857;87;67;71;85;113;1718;8162;242903;Potato;Vegetative;Rabi;Rainfed;Tomato;West;17047;444;NPK
Clay;664;5922;107;279;62;64;38;162;3019;247042;Wheat;Harvest;Zaid;Rainfed;Tomato;North;22951;213;MOP
Clay;704;3343;29;136;141;59;104;3955;6741;179924;Cotton;Vegetative;Rabi;Sprinkler;Wheat;North;7929;439;NPK
Silt;529;5337;27;58;151;41;27;2143;7714;235206;Maize;Vegetative;Kharif;Rainfed;Cotton;South;23547;165;MOP
Sandy;535;5244;96;231;96;77;12;2954;5303;246815;Wheat;Harvest;Rabi;Sprinkler;Tomato;North;20481;531;MOP
Silt;467;3558;135;74;102;27;44;3088;8302;112991;Rice;Sowing;Kharif;Rainfed;Cotton;North;5232;645;DAP
Silt;579;4533;89;52;88;74;75;2336;7414;19454;Rice;Sowing;Zaid;Drip;Wheat;East;1679;54;NPK
Silt;674;1964;134;173;33;34;13;1671;6636;142022;Potato;Harvest;Kharif;Rainfed;Cotton;Central;13789;11;Urea
Clay;793;4442;125;205;89;40;50;2314;419;4747;Potato;Harvest;Rabi;Canal;Sugarcane;South;11338;569;Zinc Sulphate
Loamy;717;2362;3;175;24;28;88;2421;7021;20157;Wheat;Flowering;Rabi;Canal;Wheat;West;6378;44;Urea
Sandy;624;516;46;20;21;27;90;3862;8003;184496;Rice;Harvest;Rabi;Sprinkler;Cotton;West;29433;401;Urea
Loamy;831;1419;106;44;25;77;99;2706;7379;48727;Rice;Sowing;Zaid;Canal;Rice;West;11994;298;Urea
Silt;738;4866;78;148;53;42;104;391;6449;39828;Wheat;Sowing;Rabi;Sprinkler;Tomato;South;16455;181;Urea
Silt;822;150;58;114;41;79;39;273;7287;89898;Cotton;Flowering;Zaid;Rainfed;Rice;South;7355;492;Urea
Loamy;661;5406;74;292;151;16;96;1435;8861;253356;Sugarcane;Flowering;Zaid;Drip;Rice;Central;24922;683;DAP
Loamy;554;2521;78;24;132;10;103;2153;3065;3783;Maize;Flowering;Rabi;Drip;Sugarcane;East;5593;79;DAP
Loamy;471;4272;138;97;153;89;20;3377;6984;148903;Rice;Flowering;Zaid;Drip;Potato;Central;1975;544;MOP
Silt;74;3438;33;283;86;68;42;2265;7758;7013;Cotton;Sowing;Kharif;Canal;Sugarcane;East;11915;318;Zinc Sulphate
Silt;499;2832;56;295;96;43;47;1299;6833;90995;Cotton;Flowering;Kharif;Canal;Tomato;East;13634;39;Compost
Sandy;571;4227;9;249;109;61;119;1288;4639;235579;Potato;Flowering;Zaid;Rainfed;Cotton;Central;18124;607;Urea
Sandy;663;5738;111;32;135;20;14;1711;7937;258169;Sugarcane;Flowering;Kharif;Canal;Cotton;East;16722;434;DAP
Silt;676;1206;102;173;106;17;68;2694;848;182481;Tomato;Harvest;Kharif;Canal;Maize;East;15271;466;DAP
Loamy;69;5594;142;126;87;62;108;349;7101;261708;Wheat;Harvest;Kharif;Sprinkler;Potato;East;20661;198;DAP
Loamy;517;4045;123;244;120;24;60;2601;6066;259924;Rice;Sowing;Rabi;Sprinkler;Tomato;West;1871;476;DAP
Sandy;602;5037;92;26;76;37;74;3238;5198;82025;Maize;Flowering;Kharif;Canal;Cotton;South;13277;78;DAP
Silt;697;2919;48;67;153;23;77;2937;498;200605;Rice;Vegetative;Kharif;Sprinkler;Wheat;East;9714;335;DAP
Sandy;838;3359;79;152;90;67;67;2572;7339;237932;Maize;Flowering;Kharif;Drip;Wheat;East;8901;218;Zinc Sulphate
Sandy;741;5344;11;56;122;66;57;1644;6643;177095;Maize;Sowing;Kharif;Rainfed;Sugarcane;North;5917;432;DAP
Clay;819;3074;129;211;152;61;67;365;3941;245618;Sugarcane;Flowering;Kharif;Sprinkler;Sugarcane;South;16126;463;Zinc Sulphate
Clay;755;3673;145;248;79;46;111;1827;3847;196073;Potato;Flowering;Zaid;Rainfed;Sugarcane;South;9369;798;Compost
Clay;687;1101;99;214;128;11;46;1758;3427;99648;Maize;Flowering;Zaid;Drip;Tomato;Central;27055;25;DAP
Loamy;527;1793;88;138;120;43;16;1773;7101;211967;Wheat;Flowering;Rabi;Canal;Tomato;East;15563;48;MOP
Silt;717;4208;22;265;28;43;69;1287;4886;18464;Maize;Sowing;Kharif;Drip;Sugarcane;South;20663;361;Urea
Silt;699;4585;29;5;151;67;68;2496;3121;194986;Cotton;Harvest;Rabi;Rainfed;Potato;North;12794;623;NPK
Silt;691;3913;4;85;93;82;19;1983;5026;4669;Tomato;Harvest;Kharif;Canal;Rice;South;11483;709;MOP
Silt;646;1717;27;152;115;70;42;2566;7993;55206;Cotton;Harvest;Kharif;Sprinkler;Rice;East;25406;632;Compost
Clay;661;3227;72;28;148;63;60;2359;4486;248103;Tomato;Sowing;Rabi;Drip;Tomato;Central;14233;233;Zinc Sulphate
Loamy;584;2775;64;38;106;76;87;2559;6801;140756;Potato;Flowering;Kharif;Rainfed;Cotton;Central;7384;556;Urea
Loamy;658;3478;103;125;134;39;45;1893;5638;80278;Rice;Harvest;Rabi;Rainfed;Rice;West;13087;262;DAP
